freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,sensitivity,predictor_set,label_definition,training_population,validation_year,population,notes,n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2022,P_valid_2022_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1786,161,1625,0.09014557670772676,roc_auc,0.8058671763019589,0.7699282518102255,0.839702846156993,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2022,P_valid_2022_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1786,161,1625,0.09014557670772676,pr_auc,0.3354435533097831,0.26980899436490724,0.41897620823589066,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2022,P_valid_2022_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1786,161,1625,0.09014557670772676,brier_score,0.07154662496579497,0.06284152989599215,0.08118074138485586,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2022,P_valid_2022_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1786,161,1625,0.09014557670772676,calibration_slope,1.4201147736687785,1.2042173023899199,1.6615589129447217,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2022,P_valid_2022_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1786,161,1625,0.09014557670772676,calibration_in_the_large,0.05612476958416348,-0.10064177406076691,0.21946938748380848,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2023,P_valid_2023_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1986,161,1825,0.081067472306143,roc_auc,0.8002654641368161,0.7654699634608153,0.8306243308381221,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2023,P_valid_2023_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1986,161,1825,0.081067472306143,pr_auc,0.2800890382001897,0.219760071454619,0.34867275365335226,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2023,P_valid_2023_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1986,161,1825,0.081067472306143,brier_score,0.06662443639198921,0.05847283840161243,0.07547666626368504,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2023,P_valid_2023_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1986,161,1825,0.081067472306143,calibration_slope,1.3027451614023893,1.112800740860589,1.5149882355138804,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,original_articles_only,reduced,cumulative citations,2018-2021 original articles,2023,P_valid_2023_original_articles,reviews excluded from training and validation; restores submitted Supplementary Table S4 on the locked reduced set,1986,161,1825,0.081067472306143,calibration_in_the_large,-0.12273786693827406,-0.28700362609561525,0.03332912250667958,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,A,country_blind,reduced_without_geography,cumulative citations,2018-2021,2022,P_valid_2022,n_countries and is_international removed; has_korea/has_usa were already expanded-only,2074,211,1863,0.1017357762777242,roc_auc,0.7995792344305293,0.7658459771713948,0.828022487837357,1000,1000,42
