freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,model_role,predictor_set,sensitivity,algorithm,calibration_method,training_years,validation_year,population,n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed,comparator,difference_direction,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_minus_expanded,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,roc_auc,-0.004878839600883422,-0.013669425475009328,0.0046788759007797545,1000,1000,42,expanded,reduced minus expanded,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_minus_expanded,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,pr_auc,-0.006936989874781474,-0.02154759732889728,0.010874085816465593,1000,1000,42,expanded,reduced minus expanded,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_minus_expanded,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,brier_score,0.0009759402040682985,-0.0008542994135237042,0.0026621480525237176,1000,1000,42,expanded,reduced minus expanded,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_minus_expanded,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_slope,0.042093545566293855,-0.024522290763090246,0.11812852284666164,1000,1000,42,expanded,reduced minus expanded,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_minus_expanded,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_in_the_large,-0.04036062105071235,-0.05142381221560389,-0.02937527739711188,1000,1000,42,expanded,reduced minus expanded,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference_minus_reduced,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,roc_auc,-0.03454891380818659,-0.05062946907211167,-0.018543507976643635,1000,1000,42,reduced,reduced_without_reference minus reduced,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference_minus_reduced,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,pr_auc,-0.045259557480481716,-0.0680466378147101,-0.022389438531513844,1000,1000,42,reduced,reduced_without_reference minus reduced,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference_minus_reduced,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,brier_score,0.0064290765503720315,0.0037825641993084864,0.008978782269772103,1000,1000,42,reduced,reduced_without_reference minus reduced,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference_minus_reduced,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_slope,-0.12356464078232499,-0.23287295168557146,-0.008991652393877421,1000,1000,42,reduced,reduced_without_reference minus reduced,paired article-level bootstrap
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference_minus_reduced,paired_difference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_in_the_large,0.012666767647185162,-0.004044503359596112,0.02877366774920612,1000,1000,42,reduced,reduced_without_reference minus reduced,paired article-level bootstrap
